trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,5,50.49323680001544,50.49323680001544,0.018742899992503226,[0.15234375],[-0.07421875],[1],[0],[0],[1.9444399999920279],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
13,0,13,0,5,52.467082699993625,52.467082699993625,0.022420299996156245,[0.4189453125],[0.1962890625],[1],[0],[0],[1.6435040999785997],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
14,0,14,0,5,54.140241499990225,54.140241499990225,0.02304810000350699,[-0.447265625],[0.16796875],[1],[0],[0],[1.7331572999828495],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
15,0,15,0,5,55.90065789996879,55.90065789996879,0.020521200029179454,[0.1376953125],[0.4375],[1],[0],[0],[1.6233619999838993],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
16,0,16,0,10,57.57809249998536,57.57809249998536,0.03910259995609522,[-0.4140625],[0.1435546875],[1],[0],[0],[2.08751119999215],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
17,0,17,0,10,59.70533750002505,59.70533750002505,0.0363704000483267,[0.0263671875],[0.12890625],[1],[0],[0],[1.794223900011275],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
18,0,18,0,10,61.54465400002664,61.54465400002664,0.0377716000075452,[-0.0830078125],[0.2060546875],[1],[0],[0],[1.6065218000439927],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
19,0,19,0,10,63.20974740001839,63.20974740001839,0.04947329999413341,[0.4267578125],[-0.4482421875],[1],[0],[0],[3.761051999987103],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
20,0,20,0,10,67.01678940001875,67.01678940001875,0.04466029995819554,[-0.3271484375],[-0.3232421875],[1],[0],[0],[2.1850347999716178],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
21,0,21,0,10,69.24352810002165,69.24352810002165,0.03907780000008643,[-0.248046875],[0.482421875],[1],[0],[0],[4.420034300012048],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
